Column 1,Column 2,BLEURT_Gemini_Culture-aware,BERTScore_Gemini_Culture-aware,BLEURT_Gemini_Title and Synopsis,BERTScore_Gemini_Title and Synopsis,BLEURT_Gemini_Title-only,BERTScore_Gemini_Title-only,BLEURT_gpt_Culture-aware,BERTScore_gpt_Culture-aware,BLEURT_gpt_Title_and_Synopsis,BERTScore_gpt_Title_and_Synopsis,BLEURT_gpt_Title-only,BERTScore_gpt_Title-only,BLEURT_Llama_Culture-aware,BERTScore_Llama_Culture-aware,BLEURT_Llama_Title_and_Synopsis,BERTScore_Llama_Title_and_Synopsis,BLEURT_Llama_Title-only,BERTScore_Llama_Title-only
Ne Zha 2,哪吒之魔童闹海,-1.6176613569259644,0.824828445911407,-1.7503820657730103,0.8251356482505798,-1.6676089763641357,0.8265061378479004,-1.1681709289550781,0.8854520916938782,-1.5354288816452026,0.8961165547370911,-1.7402393817901611,0.8323626518249512,-1.8712952136993408,0.8215711712837219,-1.2933598756790161,0.9064112901687622,0.10821107029914856,0.9667448401451111
Ne Zha,哪吒之魔童降世,-1.4910953044891357,0.8427108526229858,-1.619051218032837,0.8298013806343079,-1.4419039487838745,0.8405072689056396,-1.518796443939209,0.8558439612388611,-1.0120079517364502,0.9309711456298828,-1.4339513778686523,0.8464254140853882,-1.5762618780136108,0.8267993330955505,-1.0403904914855957,0.8346611261367798,-1.735131025314331,0.8234402537345886
Creation of the Gods II: Demon Force,封神第二部：战火西岐,-1.2762138843536377,0.8525006771087646,-0.6583176255226135,0.9415500164031982,-0.775273323059082,0.9340352416038513,-1.0523362159729004,0.8890228867530823,-0.6642454266548157,0.9435693025588989,-1.1879770755767822,0.8988485336303711,-1.7742582559585571,0.8356549739837646,-1.1871931552886963,0.8793665170669556,-1.1904510259628296,0.8873722553253174
Legends of the Condor Heroes: The Gallants,射雕英雄传：侠之大者,-1.430736780166626,0.804016649723053,-0.014459360390901566,0.9219530820846558,-0.014459360390901566,0.9219529628753662,-0.1279340237379074,0.8877403736114502,0.219612717628479,0.9195488691329956,0.219612717628479,0.9195488691329956,-0.8569933772087097,0.8730425834655762,0.006407346576452255,0.9045657515525818,0.006407346576452255,0.9045658707618713
Dead to Rights,南京照相馆,-1.7155811786651611,0.8177235722541809,-1.726596474647522,0.7921825051307678,-1.726596474647522,0.7921825051307678,-1.873234748840332,0.8069134950637817,-1.726596474647522,0.7921825051307678,-1.726596474647522,0.7921825051307678,-1.8172842264175415,0.8163306713104248,-1.726596474647522,0.7921825051307678,-1.726596474647522,0.7921825051307678
Detective Dee: The Four Heavenly Kings,狄仁杰之四大天王,0.284271240234375,0.9608134627342224,0.3844381272792816,0.9681675434112549,-0.8475788235664368,0.8963999152183533,-0.07538630068302155,0.8925665616989136,0.9726296067237854,0.9999998807907104,0.9726296067237854,0.9999998807907104,-0.9401319622993469,0.9100549817085266,0.3844381272792816,0.9681675434112549,0.3844381272792816,0.9681675434112549
Curse of the Golden Flower,滿城盡帶黃金甲,-1.6296838521957397,0.8505983948707581,-1.4925446510314941,0.8452291488647461,0.9755608439445496,1.0000001192092896,-1.5370538234710693,0.8594115972518921,0.9755608439445496,1.0000001192092896,-1.4537532329559326,0.8713887333869934,-1.546207308769226,0.8576350212097168,-1.6279919147491455,0.8649023175239563,0.7635949850082397,0.9333142042160034
Saving General Yang,忠烈楊家將,-1.121330738067627,0.8648478984832764,1.044171929359436,0.9999999403953552,-1.0897243022918701,0.8709356784820557,-1.3838555812835693,0.8550516963005066,1.044171929359436,0.9999999403953552,-0.6915107369422913,0.8800349831581116,-1.00113046169281,0.8514540195465088,-0.5264831185340881,0.8677411079406738,-0.5264831185340881,0.8677411079406738
Oolong Courtyard: Kung Fu School,新乌龙院之笑闹江湖,-0.9725944995880127,0.9072369933128357,-1.0705597400665283,0.9048041105270386,-1.3337374925613403,0.8373061418533325,-1.0192232131958008,0.8964077830314636,-1.0316270589828491,0.9364108443260193,-1.074073314666748,0.9029414057731628,-1.380115032196045,0.8470757603645325,-0.6885847449302673,0.9014845490455627,-1.5477864742279053,0.849928081035614
Creation of the Gods I: Kingdom of Storms,封神第一部：朝歌风云,-1.3296455144882202,0.8546802401542664,0.9731559157371521,1.0,-0.9611299633979797,0.9456704258918762,-0.7716493010520935,0.8735823631286621,0.9731559157371521,1.0,-0.4995293617248535,0.9173673391342163,-1.0337703227996826,0.9165778756141663,-1.2760118246078491,0.8811978101730347,-1.674325704574585,0.84029620885849
The Founding of an Army,建军大业,-0.07830403745174408,0.89438396692276,0.9270071983337402,0.9999998807907104,0.9270071983337402,0.9999998807907104,-0.11172741651535034,0.9130027294158936,0.9270071983337402,0.9999998807907104,0.9270071983337402,0.9999998807907104,-0.68289715051651,0.9108465313911438,0.9270071983337402,0.9999998807907104,-0.4621378481388092,0.9652849435806274
The Taking of Tiger Mountain,智取威虎山,0.2516568899154663,0.9309206008911133,0.9884586930274963,0.9999998807907104,0.9884586930274963,0.9999998807907104,-0.627009928226471,0.913999617099762,0.9884586930274963,0.9999998807907104,-0.5719185471534729,0.903954267501831,-1.3513343334197998,0.8820903301239014,-1.5138107538223267,0.845979630947113,-1.5138107538223267,0.845979630947113
The Monkey King 3,西游记·女儿国,-1.0685144662857056,0.9092010855674744,-0.7065491080284119,0.9246759414672852,-0.7159896492958069,0.906031608581543,-1.497363567352295,0.8406564593315125,-0.9133608341217041,0.92364102602005,-1.5627977848052979,0.8417922258377075,-1.1947518587112427,0.8906224370002747,-1.4539039134979248,0.8399121165275574,-1.1897952556610107,0.824219822883606
The Queen,封神：妲己,-1.6439298391342163,0.8205311298370361,-1.5768346786499023,0.8465720415115356,-1.4275853633880615,0.8469032645225525,-1.809308648109436,0.8195410370826721,-1.5768346786499023,0.8465719819068909,-1.4275853633880615,0.8469032645225525,-1.5854376554489136,0.8331232070922852,-1.3241689205169678,0.853449821472168,-1.6646850109100342,0.8093116283416748
Beginning of the Great Revival,建党伟业,0.2475758194923401,0.9294801950454712,-0.7307122349739075,0.8936171531677246,-0.7307122349739075,0.8936171531677246,-0.8255792856216431,0.880339503288269,-0.7307122349739075,0.8936171531677246,-0.7307122349739075,0.8936171531677246,-0.7261244654655457,0.8849382996559143,-0.7307122349739075,0.8936171531677246,-0.7307122349739075,0.8936171531677246
King of the New Beggars,武状元苏乞儿之天降神谕,-1.3914350271224976,0.8628031015396118,-0.5535515546798706,0.8948140144348145,-0.7868641018867493,0.8868401646614075,-0.9978386163711548,0.8661423921585083,-1.5375851392745972,0.8110789060592651,-1.2938427925109863,0.8664585947990417,-1.3756911754608154,0.8526540994644165,-1.5943907499313354,0.8345001339912415,-1.5851998329162598,0.8239239454269409
Shaolin Temple Death or Consequence,武僧,-1.6715927124023438,0.8393510580062866,-1.1211004257202148,0.8620280027389526,-1.0298585891723633,0.8710683584213257,-1.5339725017547607,0.8232243657112122,-1.571385145187378,0.8436223268508911,-1.4436612129211426,0.8535748720169067,-1.007493495941162,0.9008981585502625,-1.007493495941162,0.9008981585502625,-0.929911732673645,0.9078190922737122
Detective Dee and the Mystery of the Phantom Flame,狄仁傑之通天帝國,-0.8017476201057434,0.9189653396606445,-0.43563660979270935,0.9283487796783447,0.974911093711853,1.0,-0.8879376649856567,0.8858563899993896,0.974911093711853,1.0,-0.5478883385658264,0.9255255460739136,-1.384488582611084,0.8360538482666016,-1.423691749572754,0.857529878616333,0.26403602957725525,0.9806011319160461
Records of East China Sea,东海异闻录,-0.09766119718551636,0.8539375066757202,-0.6680112481117249,0.8974123001098633,-0.7925797700881958,0.8547263145446777,-0.5608078837394714,0.8705244660377502,-0.3618101179599762,0.9141985177993774,-0.3618101179599762,0.9141985177993774,-1.1428604125976562,0.8319530487060547,-0.7484207153320312,0.8881659507751465,-0.7222034335136414,0.8939462304115295
The Westward: The Kingdom of Shadow,西行纪之暗影魔城,-1.473454236984253,0.8348750472068787,-0.002317149192094803,0.9603397250175476,-0.5458399653434753,0.9204179644584656,-0.4243090748786926,0.898422360420227,-0.2974677085876465,0.9514691829681396,-0.40917888283729553,0.9306223392486572,-1.473454236984253,0.8348750472068787,-0.002317149192094803,0.9603397250175476,-1.0817281007766724,0.889789342880249
"Crouching Tiger, Hidden Dragon",卧虎藏龍,-1.6112680435180664,0.7667135000228882,1.0616055727005005,1.0,0.6062193512916565,0.9708272814750671,-0.8219127058982849,0.8321821689605713,1.0616055727005005,1.0,1.0616055727005005,1.0,-1.172480583190918,0.8439260125160217,1.0616055727005005,1.0,1.0616055727005005,1.0
The Grandmaster of Kung Fu,霍元甲之精武天下,-1.1816741228103638,0.8369942903518677,-0.8581867218017578,0.8318111896514893,-1.2259389162063599,0.8156092166900635,-1.4265966415405273,0.8301287889480591,-1.3942464590072632,0.8240095973014832,-1.6139087677001953,0.8308200836181641,-0.03530694916844368,0.9376259446144104,-1.1291769742965698,0.8410322666168213,-1.575449824333191,0.8514845371246338
Summer Palace,颐和园,-1.011523962020874,0.8611364364624023,1.0053746700286865,1.0,1.0053746700286865,1.0,0.4080587327480316,0.8811072111129761,1.0053746700286865,1.0,1.0053746700286865,1.0,-0.7740042209625244,0.8237335085868835,0.601885199546814,0.925795316696167,0.601885199546814,0.925795316696167
Dragon,武俠,-0.36383578181266785,0.9966459274291992,-0.7075257897377014,0.8871439695358276,-1.1463770866394043,0.8536171317100525,-1.3716392517089844,0.8384807705879211,0.9931547045707703,1.0000003576278687,-0.8158566355705261,0.8472249507904053,-1.3221303224563599,0.8359477519989014,-0.17028369009494781,0.9983598589897156,-0.684871256351471,0.8568514585494995
Guard The Pass of Han,汉时关,-1.2554197311401367,0.8519718647003174,-0.4972583055496216,0.8394894599914551,-0.6894251704216003,0.8804445266723633,-1.1377899646759033,0.9141983389854431,-0.7892153859138489,0.9092552661895752,-0.4525991380214691,0.867385983467102,-1.2554197311401367,0.8519720435142517,-0.4861144423484802,0.8919624090194702,-1.0135729312896729,0.8216927647590637
Fearless,霍元甲,-0.4539847671985626,0.8573557734489441,1.113463282585144,0.9999997615814209,1.113463282585144,0.9999997615814209,-1.093900203704834,0.8209682703018188,1.113463282585144,0.9999998211860657,-1.019933819770813,0.7779206037521362,-1.5361573696136475,0.8106756806373596,1.113463282585144,0.9999997615814209,0.20814615488052368,0.860838770866394
House of Flying Daggers,十面埋伏,-1.5144059658050537,0.8030682802200317,-1.3541680574417114,0.8337348103523254,1.0354903936386108,1.0,-1.4390621185302734,0.8330101370811462,1.0354903936386108,1.0,1.0354903936386108,1.0,-1.2377153635025024,0.8263803720474243,1.0354903936386108,1.0,-1.386006474494934,0.8704918622970581
The Magic Blade,天涯明月刀,-1.321138858795166,0.8827159404754639,1.0065808296203613,1.000000238418579,-1.605872631072998,0.8470597863197327,-1.488558292388916,0.8705222606658936,1.0065808296203613,1.000000238418579,-1.700192928314209,0.8896664977073669,-1.6019182205200195,0.8695948719978333,-1.6311596632003784,0.8748817443847656,-1.468174934387207,0.8721669316291809
Rise of the Legend,黄飞鸿之英雄有梦,-1.1022577285766602,0.833610475063324,1.0026507377624512,1.0000001192092896,-0.801179826259613,0.8665002584457397,-1.1699042320251465,0.8528344631195068,1.0026507377624512,1.0000001192092896,-1.1300023794174194,0.8396387100219727,-0.9565661549568176,0.8523227572441101,-1.6741008758544922,0.8492764234542847,-0.8763155341148376,0.8628963828086853
Red Cliff,赤壁,-1.1844992637634277,0.8578975200653076,1.0381944179534912,1.0,1.0381944179534912,1.0,-1.2450573444366455,0.8402819633483887,1.0381944179534912,1.0,1.0381944179534912,1.0,-1.0707486867904663,0.8732854723930359,-0.7392107248306274,0.8693792223930359,-0.5557363629341125,0.8938543200492859
Red Cliff II,赤壁：決戰天下,-1.2656171321868896,0.8982093930244446,-0.9413570761680603,0.905044436454773,-1.1009788513183594,0.8816186189651489,-1.1381139755249023,0.8664447665214539,-0.9124487638473511,0.9084630012512207,-0.9413570761680603,0.9050445556640625,-0.492326945066452,0.8888652920722961,-1.046805739402771,0.8874057531356812,-1.0955466032028198,0.8612271547317505
The Flowers of War,金陵十三釵,-1.513852596282959,0.8434011936187744,0.9018040299415588,0.9999998807907104,0.9018040299415588,0.9999998807907104,-1.4401248693466187,0.8358620405197144,0.9018040299415588,0.9999998807907104,-1.736111044883728,0.8425343632698059,-1.7082514762878418,0.8653096556663513,0.9018040299415588,0.9999998807907104,0.9018040299415588,0.9999998807907104
Strange Case in Western Hunan,湘西诡案,-1.5191642045974731,0.842106819152832,-0.5389420986175537,0.9165167808532715,-0.41474249958992004,0.8716189861297607,-1.0770862102508545,0.880225658416748,0.04114627465605736,0.9339580535888672,0.04114627465605736,0.9339580535888672,-1.1431736946105957,0.8938793540000916,-0.8697765469551086,0.8645978569984436,-1.1244539022445679,0.8158493041992188
Jiang Ziya,姜子牙,-0.7122899293899536,0.9135760068893433,0.976158082485199,1.0,0.976158082485199,1.0,-1.0857644081115723,0.8789182305335999,0.976158082485199,1.0,0.976158082485199,1.0,-1.5828324556350708,0.827025830745697,0.976158082485199,1.0,0.976158082485199,1.0
Journey to the West: Conquering the Demons,西游·降魔篇,-0.9027567505836487,0.8980737328529358,1.0033713579177856,1.0,0.7287580370903015,0.9888486266136169,-0.4564967453479767,0.8886234760284424,1.0033713579177856,1.0,1.0033713579177856,1.0,-0.5658933520317078,0.8816238045692444,1.0033713579177856,1.0,-0.004030320793390274,0.9007346630096436
Ip Man: Kung Fu Master,宗师叶问,-1.4052367210388184,0.8729326725006104,-0.8469972610473633,0.8848429918289185,-0.8636101484298706,0.8834349513053894,-1.4086570739746094,0.8557921051979065,-0.577763557434082,0.8885616064071655,-0.577763557434082,0.8885616064071655,-0.728695809841156,0.88273024559021,-0.5779690146446228,0.9321999549865723,-1.0848023891448975,0.8111461997032166
The Monkey King: Reborn,西游记之再世妖王,-0.6960791945457458,0.9275144934654236,-1.0188184976577759,0.8834677338600159,-1.0188184976577759,0.8834677338600159,-0.5887266993522644,0.9251335263252258,1.014628529548645,1.0000001192092896,-1.2971901893615723,0.8720441460609436,-0.6273130178451538,0.8622743487358093,-1.1752229928970337,0.861255407333374,-0.21971917152404785,0.8983023166656494
The Monkey King,西遊記之大鬧天宮,-1.325742483139038,0.8650943040847778,-0.895805299282074,0.9211444854736328,-1.0151855945587158,0.9156075716018677,-1.0466188192367554,0.8922936916351318,-1.3685483932495117,0.8821835517883301,-1.6216320991516113,0.8432567119598389,-1.0821921825408936,0.856274425983429,-1.6815922260284424,0.8331782221794128,-1.610898733139038,0.8422437906265259
White Snake,白蛇：缘起,-1.0553324222564697,0.909619927406311,-0.44448283314704895,0.9451477527618408,-0.8759571313858032,0.8989447951316833,-1.1217241287231445,0.8322275280952454,-0.44448283314704895,0.9451477527618408,-0.786010205745697,0.9354846477508545,-1.358858346939087,0.9031412601470947,-0.8731579780578613,0.8946375250816345,-0.8731579780578613,0.8946375250816345
