Column 1,Column 2,datasets/Gemini_Culture-aware.csv,datasets/Gemini_Title_and_Synopsis.csv,datasets/Gemini_Title-only.csv,datasets/gpt_Culture-aware.csv,datasets/gpt_Title_and_Synopsis.csv,datasets/gpt_Title-only.csv,datasets/Llama_Culture-aware.csv,datasets/Llama_Title_and_Synopsis.csv,datasets/Llama_Title-only.csv
Ne Zha 2,哪吒之魔童闹海,0.7500,0.2500,0.7500,0.8800,0.8800,0.7500,0.3800,0.8800,1.0000
Ne Zha,哪吒之魔童降世,0.8300,0.8300,0.8300,0.8300,1.0000,0.8300,0.5000,0.8300,0.5000
Creation of the Gods II: Demon Force,封神第二部：战火西岐,0.3900,0.7800,0.8100,0.8100,0.7200,0.6400,0.4500,0.4700,0.4700
Legends of the Condor Heroes: The Gallants,射雕英雄传：侠之大者,0.0000,0.8600,0.8600,0.8600,0.8600,0.8600,0.5700,0.7900,0.7900
Dead to Rights,南京照相馆,0.2900,0.3600,0.3600,0.3600,0.3600,0.3600,0.5000,0.3600,0.3600
Detective Dee: The Four Heavenly Kings,狄仁杰之四大天王,0.7400,0.8900,0.6900,0.8700,1.0000,1.0000,0.8200,0.8900,0.8900
Curse of the Golden Flower,滿城盡帶黃金甲,0.3800,0.3800,1.0000,0.5100,1.0000,0.5600,0.3900,0.3500,1.0000
Saving General Yang,忠烈楊家將,0.0000,1.0000,0.4900,0.4700,1.0000,0.5800,0.4200,0.4200,0.4200
Oolong Courtyard: Kung Fu School,新乌龙院之笑闹江湖,0.6200,0.6900,0.3100,0.6900,0.7500,0.7500,0.2800,0.8000,0.6500
Creation of the Gods I: Kingdom of Storms,封神第一部：朝歌风云,0.3700,1.0000,0.7700,0.6900,1.0000,0.7100,0.5600,0.4900,0.5200
The Founding of an Army,建军大业,0.4300,1.0000,1.0000,0.6200,1.0000,1.0000,0.5200,1.0000,0.8300
The Taking of Tiger Mountain,智取威虎山,0.7100,1.0000,1.0000,0.6800,1.0000,0.7500,0.5000,0.5600,0.5600
The Monkey King 3,西游记·女儿国,0.9400,0.9400,0.9400,0.5900,0.9400,0.5900,0.8800,0.4100,0.4700
The Queen,封神：妲己,0.6700,0.4400,0.5600,0.6700,0.4400,0.5600,0.4400,0.3300,0.5600
Beginning of the Great Revival,建党伟业,0.7700,0.5200,0.5200,0.5600,0.5200,0.5200,0.5000,0.5200,0.5200
King of the New Beggars,武状元苏乞儿之天降神谕,0.5700,0.6500,0.6500,0.5700,0.3500,0.5200,0.4800,0.4100,0.3400
Shaolin Temple Death or Consequence,武僧,0.4700,0.5800,0.5600,0.4400,0.5000,0.4200,0.5300,0.5300,0.7500
Detective Dee and the Mystery of the Phantom Flame,狄仁傑之通天帝國,0.7300,0.7100,1.0000,0.7100,1.0000,0.7000,0.5000,0.5200,0.9000
Records of East China Sea,东海异闻录,0.6000,0.5800,0.4400,0.6400,0.6200,0.6200,0.0000,0.5600,0.6000
The Westward: The Kingdom of Shadow,西行纪之暗影魔城,0.0000,0.6800,0.6600,0.7100,0.6500,0.6300,0.0000,0.6800,0.6000
"Crouching Tiger, Hidden Dragon",卧虎藏龍,0.0000,1.0000,0.9700,0.4300,1.0000,1.0000,0.6700,1.0000,1.0000
The Grandmaster of Kung Fu,霍元甲之精武天下,0.4200,0.3500,0.3800,0.4600,0.5000,0.3100,0.5800,0.3500,0.5000
Summer Palace,颐和园,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.2300,1.0000,1.0000
Dragon,武俠,0.0000,0.3600,0.3300,0.3300,1.0000,0.3600,0.3300,0.5000,0.1700
Guard The Pass of Han,汉时关,0.0000,0.7500,0.6200,0.7100,0.7100,0.5300,0.0000,0.6700,0.4200
Fearless,霍元甲,0.0000,1.0000,1.0000,0.3800,1.0000,0.1300,0.2500,1.0000,0.5000
House of Flying Daggers,十面埋伏,0.3500,0.4800,1.0000,0.4800,1.0000,1.0000,0.4800,1.0000,0.3200
The Magic Blade,天涯明月刀,0.5300,1.0000,0.4700,0.4700,1.0000,0.6700,0.5300,0.4700,0.5300
Rise of the Legend,黄飞鸿之英雄有梦,0.3900,1.0000,1.0000,0.7200,1.0000,0.3900,0.3400,0.4400,0.4500
Red Cliff,赤壁,0.3300,1.0000,1.0000,0.2200,1.0000,1.0000,0.0000,1.0000,1.0000
Red Cliff II,赤壁：決戰天下,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300
The Flowers of War,金陵十三釵,0.6100,1.0000,1.0000,0.5000,1.0000,0.5000,0.5600,1.0000,1.0000
Strange Case in Western Hunan,湘西诡案,0.5200,0.4300,0.4600,0.4200,0.6300,0.6300,0.3300,0.4700,0.4300
Jiang Ziya,姜子牙,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.3000,1.0000,1.0000
Journey to the West: Conquering the Demons,西游·降魔篇,0.4300,1.0000,0.9000,0.7200,1.0000,1.0000,0.5700,1.0000,0.5800
Ip Man: Kung Fu Master,宗师叶问,0.5500,0.4200,0.4400,0.3700,0.4600,0.4600,0.4100,1.0000,0.5500
The Monkey King: Reborn,西游记之再世妖王,0.8700,0.7400,0.7400,1.0000,1.0000,0.5700,0.7000,0.5200,0.6500
The Monkey King,西遊記之大鬧天宮,0.5300,1.0000,1.0000,1.0000,1.0000,0.4000,0.4700,0.4000,0.5300
White Snake,白蛇：缘起,1.0000,1.0000,1.0000,0.7300,1.0000,1.0000,0.7300,1.0000,1.0000
Huang Feihong: The Black Yamen,黄飞鸿之黑衙门,0.7300,0.8700,0.7800,0.7300,0.8700,0.8700,0.5400,0.6300,0.3900
Immortal Demon Slayer,悟空傳,0.3500,0.3300,0.2500,0.2400,0.3300,0.2500,0.3300,0.3600,0.3600
True Legend,苏乞儿,0.4500,0.2700,0.4500,0.4500,0.2700,0.3800,0.4500,0.4500,0.3600
Monkey King: Hero Is Back,西游记之大圣归来,0.0000,0.3200,0.4400,1.0000,1.0000,0.4400,0.6400,0.5600,1.0000
"The Pig, the Snake and the Pigeon",周處除三害,0.4100,1.0000,0.4300,0.4800,0.9100,0.4200,0.4700,0.4600,0.4300
The Great Dream of Liaozhai,大梦聊斋,0.5600,0.9100,0.5900,0.7400,1.0000,1.0000,0.5000,0.5600,0.4700
The Yin-Yang Master: Dream of Eternity,晴雅集,0.0000,1.0000,1.0000,0.4300,1.0000,0.3900,0.3900,0.3900,0.4700
Black Dog,狗阵,0.0000,0.3300,0.4400,0.4000,1.0000,0.4000,0.4400,0.4000,0.3300
GATAO: Big Brothers,角頭－鬥陣欸,0.4700,0.5800,0.5800,0.7900,0.5800,0.4900,0.4300,0.5800,0.3800
Hero,英雄,0.5000,1.0000,1.0000,1.0000,1.0000,1.0000,0.7500,1.0000,1.0000
周处除三嗨,周处除三嗨,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Dongji Rescue,东极岛,0.3100,0.6200,0.6200,0.3100,0.6200,0.2300,0.3100,0.6200,0.2300
A Tale of Three Cities,三城记,0.6300,1.0000,0.7800,0.9100,1.0000,1.0000,0.6800,0.8100,0.8200
Wushu,武术之少年行,1.0000,1.0000,1.0000,1.0000,1.0000,0.4000,0.2000,0.4000,1.0000
Still Life,三峡好人,0.4000,0.3000,1.0000,1.0000,1.0000,1.0000,0.4000,0.3000,0.3000
The Chinese Widow,烽火芳菲,0.4700,0.7600,0.5300,0.3500,1.0000,0.3700,0.4100,0.4200,0.2900
New Gods: Nezha Reborn,新神榜：哪吒重生,0.0000,1.0000,0.9100,0.6800,1.0000,1.0000,0.3700,1.0000,0.5500
The Promise,无极,0.0000,0.5500,1.0000,0.8200,1.0000,1.0000,0.4500,0.4500,0.4500
A Year in the Clouds,司馬庫斯,0.4500,0.2900,0.2900,0.7000,0.2900,0.2900,0.7000,0.2900,0.5000
Master Of The Shadowless Kick: Wong Kei-Ying,擎天無影腳黃麒英,0.0000,0.8400,0.7500,0.8700,0.6000,0.7900,0.4900,0.5500,0.6500
Monster Hunt,捉妖记,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.7500,1.0000,0.7000
Sparkling Red Star,闪闪的红星 孩子的天空,0.6700,1.0000,0.7200,0.7200,1.0000,0.7200,0.0000,0.7500,0.4400
Wonderful! Liang Xi Mei,旺得福梁细妹,0.6000,0.9500,0.9000,0.3800,1.0000,0.7700,0.0000,0.8300,0.8300
Saturday Fiction,兰心大剧院,0.3100,0.2900,1.0000,0.3100,1.0000,0.2100,0.3800,0.3100,0.2600
The Sacrifice,金刚川,0.0000,0.5400,1.0000,0.5400,1.0000,0.3800,0.4300,0.4200,0.1500
The Traveller,异人之下,0.0000,0.4000,0.3800,0.6200,0.4600,0.7200,0.4600,0.2500,0.6700
Mulan Angels 2: Treasure Map,木兰特工之藏宝图,0.5400,0.7900,0.8100,0.7900,0.7900,0.7900,0.4800,0.5700,0.3000
Youth,芳华,0.0000,1.0000,1.0000,0.2000,1.0000,1.0000,1.0000,1.0000,1.0000
Return to Lanruo Temple,兰若行者,0.3500,0.6900,0.5900,0.6000,0.5500,0.6900,0.4300,0.4400,0.3200
160 Years Old,雨打芭蕉,0.0000,0.3100,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,0.3300
The Iron Coffin of Western Xia,洗冤录之西夏铁棺,0.0000,0.5600,0.7300,1.0000,1.0000,1.0000,0.8700,0.5600,0.6700
White Snake: Afloat,白蛇：浮生,0.8400,0.7900,0.9500,0.7900,0.7400,0.9500,0.6300,0.7900,0.7900
The Fatality,絕魂印,0.0000,0.4200,0.3300,0.5000,0.3300,0.5000,0.4200,0.4300,0.4200
The Myth,神話,0.0000,1.0000,1.0000,0.6200,1.0000,1.0000,0.6200,0.5000,1.0000
Free as Love,浮生若夢,0.0000,0.5000,0.4200,0.5800,0.5000,0.5000,0.5000,0.5000,0.5800
Taishan Kung Fu,泰山功夫,0.6700,1.0000,0.7900,0.4700,0.4700,0.7900,0.4700,0.8000,0.5400
The Ghost Story: Lin Suk,聊齋艷譚：连锁,0.4200,0.5800,0.3200,0.3800,0.3800,0.3800,0.4700,0.5400,0.5300
The Warlords,投名狀,0.0000,1.0000,1.0000,0.5000,1.0000,0.6200,0.5800,1.0000,0.3800
Reign of Assassins,剑雨,0.0000,1.0000,0.7300,0.4400,1.0000,0.4000,0.6400,0.6400,0.3500
Ma Yongzhen: Duel in Zhabei,马永贞之闸北决,0.0000,0.7400,0.7100,0.6300,0.7400,0.6300,0.5500,0.6700,0.4300
Nine Colors Deer King,九色鹿王·前尘,0.8600,0.8600,0.8600,0.8600,0.8600,0.7100,0.7100,0.9000,0.8600
Iron Kung Fu Fist,广东十虎：铁拳无敌,0.5300,0.5300,0.5300,0.5300,0.5300,0.5300,0.5300,0.5300,0.5300
