Column 1,Column 2,Gemini_Culture-aware.csv,Gemini_Title_and_Synopsis.csv,Gemini_Title-only.csv,gpt_Culture-aware.csv,gpt_Title_and_Synopsis.csv,gpt_Title-only.csv,Llama_Culture-aware.csv,Llama_Title_and_Synopsis.csv,Llama_Title-only.csv
Ne Zha 2,哪吒之魔童闹海,0.2514,0.0823,0.2472,0.5506,0.5270,0.2360,0.1566,0.6664,0.8812
Ne Zha,哪吒之魔童降世,0.2896,0.2839,0.3026,0.2780,0.6062,0.3011,0.1079,0.4431,0.1302
Creation of the Gods II: Demon Force,封神第二部：战火西岐,0.0954,0.5730,0.5727,0.4929,0.5735,0.4874,0.1519,0.2570,0.2503
Legends of the Condor Heroes: The Gallants,射雕英雄传：侠之大者,0.0899,0.8506,0.8506,0.7920,0.9001,0.9001,0.4219,0.9042,0.9042
Dead to Rights,南京照相馆,0.1132,0.0468,0.0468,0.1166,0.0468,0.0468,-0.0015,0.0468,0.0468
Detective Dee: The Four Heavenly Kings,狄仁杰之四大天王,0.7778,0.9834,0.6282,0.8230,1.0000,1.0000,0.5661,0.9834,0.9834
Curse of the Golden Flower,滿城盡帶黃金甲,0.3080,0.4122,1.0000,0.3678,1.0000,0.4360,0.4365,0.1931,0.9807
Saving General Yang,忠烈楊家將,0.1428,1.0000,0.6668,0.5684,1.0000,0.6623,0.6705,0.6652,0.6652
Oolong Courtyard: Kung Fu School,新乌龙院之笑闹江湖,0.6054,0.5966,0.4182,0.6662,0.6784,0.6709,0.4672,0.5870,0.5413
Creation of the Gods I: Kingdom of Storms,封神第一部：朝歌风云,0.4121,1.0000,0.5741,0.6737,1.0000,0.7579,0.5727,0.4052,0.3252
The Founding of an Army,建军大业,0.5157,1.0000,1.0000,0.6791,1.0000,1.0000,0.2213,1.0000,0.4806
The Taking of Tiger Mountain,智取威虎山,0.7959,1.0000,1.0000,0.7146,1.0000,0.8250,0.5762,0.3642,0.3642
The Monkey King 3,西游记·女儿国,0.6214,0.6608,0.7314,0.2320,0.6763,0.1832,0.6432,0.1764,0.2760
The Queen,封神：妲己,0.1737,0.0744,0.1302,0.1405,0.0744,0.1302,0.1493,0.2162,0.1465
Beginning of the Great Revival,建党伟业,0.8213,0.2858,0.2858,0.2774,0.2858,0.2858,0.4705,0.2858,0.2858
King of the New Beggars,武状元苏乞儿之天降神谕,0.6011,0.7774,0.8717,0.5828,0.0648,0.4671,0.2354,0.2213,0.3147
Shaolin Temple Death or Consequence,武僧,0.2322,0.5782,0.5577,0.2430,0.2562,0.1593,0.5536,0.5536,0.5556
Detective Dee and the Mystery of the Phantom Flame,狄仁傑之通天帝國,0.6625,0.6529,1.0000,0.5708,1.0000,0.6548,0.3572,0.2225,0.7963
Records of East China Sea,东海异闻录,0.4383,0.5111,0.4457,0.4862,0.5208,0.5208,-0.0900,0.5057,0.5809
The Westward: The Kingdom of Shadow,西行纪之暗影魔城,0.1106,0.8153,0.6965,0.6977,0.7239,0.7327,0.1106,0.8153,0.4921
"Crouching Tiger, Hidden Dragon",卧虎藏龍,0.2083,1.0000,0.9840,0.6668,1.0000,1.0000,0.6128,1.0000,1.0000
The Grandmaster of Kung Fu,霍元甲之精武天下,0.4343,0.4580,0.2971,0.2823,0.3099,0.2695,0.7539,0.5161,0.3276
Summer Palace,颐和园,0.1413,1.0000,1.0000,0.8339,1.0000,1.0000,0.3278,0.9728,0.9728
Dragon,武俠,0.3448,0.3527,0.2952,0.1750,1.0000,0.3276,0.1739,0.3802,0.2900
Guard The Pass of Han,汉时关,0.0857,0.8337,0.8218,0.7817,0.7991,0.7224,0.0857,0.8549,0.5393
Fearless,霍元甲,0.3109,1.0000,1.0000,0.2123,1.0000,0.1649,0.1983,1.0000,0.3577
House of Flying Daggers,十面埋伏,0.1091,0.1697,1.0000,0.1827,1.0000,1.0000,0.2059,1.0000,0.2743
The Magic Blade,天涯明月刀,0.3619,1.0000,0.3209,0.5026,1.0000,0.5158,0.4872,0.4516,0.2845
Rise of the Legend,黄飞鸿之英雄有梦,0.3506,1.0000,0.5627,0.3455,1.0000,0.2810,0.3843,0.0333,0.3611
Red Cliff,赤壁,0.3101,1.0000,1.0000,0.3244,1.0000,1.0000,0.1956,0.7900,0.8096
Red Cliff II,赤壁：決戰天下,0.6412,0.8030,0.7404,0.6107,0.7039,0.8030,0.8167,0.7243,0.7509
The Flowers of War,金陵十三釵,0.2946,1.0000,1.0000,0.4193,1.0000,0.2675,0.2089,1.0000,1.0000
Strange Case in Western Hunan,湘西诡案,0.0831,0.5304,0.6154,0.4107,0.5919,0.5919,0.4406,0.5055,0.4433
Jiang Ziya,姜子牙,0.6672,1.0000,1.0000,0.6494,1.0000,1.0000,0.0976,1.0000,1.0000
Journey to the West: Conquering the Demons,西游·降魔篇,0.4891,1.0000,0.9986,0.8349,1.0000,1.0000,0.6959,1.0000,0.7666
Ip Man: Kung Fu Master,宗师叶问,0.4612,0.6057,0.5825,0.5667,0.6209,0.6209,0.5789,0.5306,0.5393
The Monkey King: Reborn,西游记之再世妖王,0.7189,0.4599,0.4599,0.8417,1.0000,0.5213,0.8001,0.4402,0.7864
The Monkey King,西遊記之大鬧天宮,0.2930,0.7603,0.7364,0.7378,0.6975,0.2178,0.5886,0.2251,0.1843
White Snake,白蛇：缘起,0.7966,0.8523,0.8314,0.6107,0.8523,0.8543,0.5952,0.8260,0.8260
Huang Feihong: The Black Yamen,黄飞鸿之黑衙门,0.5040,0.7603,0.7461,0.5819,0.7603,0.7603,0.3069,0.3284,0.3332
Immortal Demon Slayer,悟空傳,0.1694,0.2132,0.2243,0.2490,0.2132,0.2243,0.1475,0.3072,0.3072
True Legend,苏乞儿,0.2083,0.2675,0.2449,0.2146,0.2675,0.1401,0.2618,0.2711,0.1061
Monkey King: Hero Is Back,西游记之大圣归来,0.1774,0.3549,0.3067,0.8832,1.0000,0.2639,0.7674,0.6907,1.0000
"The Pig, the Snake and the Pigeon",周處除三害,0.1833,1.0000,0.1517,0.2418,0.8017,0.1701,0.2779,0.1225,0.1259
The Great Dream of Liaozhai,大梦聊斋,0.4119,0.9400,0.8144,0.8325,1.0000,1.0000,0.3643,0.4015,0.3156
The Yin-Yang Master: Dream of Eternity,晴雅集,0.0723,1.0000,1.0000,0.4334,1.0000,0.3978,0.4589,0.1754,0.3906
Black Dog,狗阵,0.2144,0.4740,0.4685,0.1345,1.0000,0.5475,0.2353,0.2925,0.5083
GATAO: Big Brothers,角頭－鬥陣欸,0.7125,0.6479,0.7800,0.7874,0.6836,0.2291,0.2676,0.6779,0.1932
Hero,英雄,0.2443,1.0000,1.0000,0.4995,1.0000,1.0000,0.3033,1.0000,1.0000
周处除三嗨,周处除三嗨,0.2141,-0.0149,0.0312,0.2141,-0.0149,0.2156,0.0076,-0.0149,0.3795
Dongji Rescue,东极岛,0.0259,0.7174,0.7174,0.0346,0.7174,0.1101,0.2412,0.7174,0.1198
A Tale of Three Cities,三城记,0.9085,1.0000,0.7022,0.8971,0.9785,0.9785,0.8848,0.8834,0.8995
Wushu,武术之少年行,0.7433,0.7528,0.7372,0.7318,0.8371,0.4298,0.4495,0.5017,0.8782
Still Life,三峡好人,0.1479,0.1493,1.0000,0.4143,1.0000,1.0000,0.1347,0.1822,0.1088
The Chinese Widow,烽火芳菲,0.2876,0.6075,0.2287,0.1222,1.0000,0.2743,0.2152,0.2200,0.2552
New Gods: Nezha Reborn,新神榜：哪吒重生,0.1019,1.0000,0.9664,0.9321,1.0000,1.0000,0.5218,1.0000,0.4611
The Promise,无极,0.2922,0.3760,1.0000,0.7150,1.0000,1.0000,0.3454,0.2334,0.3840
A Year in the Clouds,司馬庫斯,0.1313,0.2215,0.2215,0.3680,0.2215,0.2215,0.5659,0.2215,0.1638
Master Of The Shadowless Kick: Wong Kei-Ying,擎天無影腳黃麒英,0.1248,0.6708,0.9026,0.9032,0.7298,0.8439,0.4422,0.4611,0.4892
Monster Hunt,捉妖记,0.2339,1.0000,1.0000,0.8323,1.0000,1.0000,0.5371,1.0000,0.7026
Sparkling Red Star,闪闪的红星 孩子的天空,0.6456,0.8455,0.5882,0.4516,0.8571,0.5594,0.1626,0.7256,0.6043
Wonderful! Liang Xi Mei,旺得福梁细妹,0.8063,0.9141,0.8401,0.5579,1.0000,0.4424,0.3351,0.7211,0.7211
Saturday Fiction,兰心大剧院,0.1343,0.2222,1.0000,0.2168,1.0000,0.2139,0.3042,0.2489,0.2707
The Sacrifice,金刚川,0.2710,0.2686,1.0000,0.3056,1.0000,0.2550,0.1954,0.2090,0.1149
The Traveller,异人之下,0.2250,0.1511,0.2529,0.2373,0.0999,0.2989,0.2748,0.2739,0.3830
Mulan Angels 2: Treasure Map,木兰特工之藏宝图,0.6010,0.7958,0.8727,0.8110,0.7958,0.8161,0.6260,0.7202,0.1561
Youth,芳华,0.3131,1.0000,1.0000,0.1542,1.0000,1.0000,0.6344,1.0000,1.0000
Return to Lanruo Temple,兰若行者,0.1631,0.4129,0.4992,0.5291,0.5559,0.4129,0.1838,0.1152,0.1160
160 Years Old,雨打芭蕉,0.2010,0.0288,-0.0175,0.0195,0.0357,0.0064,0.1037,0.0509,0.0808
The Iron Coffin of Western Xia,洗冤录之西夏铁棺,0.0778,0.9693,0.9105,0.8705,0.9821,0.7993,0.9947,0.9693,0.7562
White Snake: Afloat,白蛇：浮生,0.7438,0.8103,0.8327,0.6077,0.6982,0.8327,0.6828,0.7597,0.7681
The Fatality,絕魂印,0.2409,0.3152,0.2468,0.2691,0.2405,0.3064,0.3369,0.3252,0.1867
The Myth,神話,0.1774,1.0000,1.0000,0.4617,1.0000,1.0000,0.5798,0.7132,0.8501
Free as Love,浮生若夢,0.2727,0.2962,0.2732,0.3055,0.3387,0.3387,0.3387,0.3387,0.3038
Taishan Kung Fu,泰山功夫,0.7192,1.0000,0.7425,0.7489,0.8321,0.7425,0.3021,0.8649,0.7565
The Ghost Story: Lin Suk,聊齋艷譚：连锁,0.4393,0.4155,0.1906,0.3499,0.0564,0.0564,0.3854,0.3061,0.4022
The Warlords,投名狀,0.2385,1.0000,1.0000,0.2869,1.0000,0.2289,0.1482,0.9313,0.2954
Reign of Assassins,剑雨,0.1514,1.0000,0.6516,0.2091,1.0000,0.2571,0.3231,0.3231,0.3532
Ma Yongzhen: Duel in Zhabei,马永贞之闸北决,0.1221,0.9061,0.9775,0.8289,0.8696,0.8600,0.5940,0.7758,0.5302
Nine Colors Deer King,九色鹿王·前尘,0.7254,0.8953,0.7849,0.7493,0.7605,0.7419,0.7270,0.7900,0.8123
Iron Kung Fu Fist,广东十虎：铁拳无敌,0.4434,0.5145,0.5259,0.4553,0.5224,0.5145,0.5518,0.7628,0.5227
